# asign=450000
  1   0 5.526345366493444e-09
  2   0 2.777631833140517e-08
  3   0 3.72303345043231e-08
  4   0 1.78803650569345e-08
  5   0 3.508705088750323e-08
  6   0 1.636882022820389e-08
  7   0 6.737037518567272e-08
  8   0 7.724285853224492e-08
  9   0 2.20506595574258e-07
 10   0 7.854984533491767e-08
 11   0 1.987862318121697e-07
 12   0 3.496622323121297e-07
 13   0 2.202378530005013e-07
 14   0 1.516830477690485e-07
 15   0 3.429122698931083e-07
 16   0 3.627161696043901e-07
 17   0 1.556642711979485e-07
 18   0 1.565089300451559e-07
 19   0 1.522405664497582e-07
 20   0 1.075671344122829e-07
 21   0 2.103725078594319e-07
 22   0 3.684561144439694e-07
 23   0 5.228866619334755e-07
 24   0 1.441917754343533e-06
 25   0 4.932735885610313e-07
 26   0 1.338209280060381e-06
 27   0 6.478965696765722e-07
 28   0 4.146924786399694e-07
 29   0 1.379607269431237e-06
 30   0 5.112664444847687e-07
 31   0 1.315088024085519e-06
 32   0 3.264906689179518e-07
 33   0 2.317460066846964e-07
 34   0 5.497162379906279e-07
 35   0 2.508878519275367e-07
 36   0 8.019612769934925e-07
 37   0 5.325729358952866e-07
 38   0 5.636318547678371e-07
 39   0 1.429476159378102e-06
 40   0 4.229402443226134e-07
 41   0 1.445435101890925e-06
 42   0 2.559233250780512e-07
 43   0 2.883798680805868e-07
 44   0 7.712430811846001e-07
 45   0 2.611501334632206e-07
 46   0 5.156590885657149e-07
 47   0 1.560224577824442e-06
 48   0 4.268658143613744e-06
 49   0 3.698115312060509e-06
 50   0 1.595237345139909e-06
 51   0 1.641506117816026e-06
 52   0 3.684166114143005e-06
 53   0 3.59578033383003e-06
 54   0 4.180556868159986e-06
 55   0 1.045314310170732e-05
 56   0 4.037510261403912e-06
 57   0 1.596271472876751e-06
 58   0 3.128488956679784e-06
 59   0 1.741561269134434e-06
 60   0 1.397734094516744e-06
 61   0 1.376579215773946e-06
 62   0 9.40777550017538e-07
 63   0 9.507937045537661e-07
 64   0 1.495893944214038e-06
 65   0 1.697427376867643e-06
 66   0 9.760899563964892e-07
 67   0 2.70243869089283e-06
 68   0 2.449420649911173e-06
 69   0 8.74608782812456e-06
 70   0 3.536295415161156e-06
 71   0 8.147526575547423e-06
