0.08121645260932 0.4343575528099 -0.02111073034382   0.1140701633997 -0.02001714766676   
0.243649357828 0.4252025343678 -0.06172971103846   0.1033683685538 -0.05623382678753   
0.4060822630466 0.4085098110053 -0.09783691162003   0.08717094328375 -0.08478828535199   
0.5685151682652 0.3853333527571 -0.1286107122524   0.06845581963941 -0.106054424336   
0.7309480734839 0.3614990702788 -0.1503516252574   0.05265433672005 -0.1202084324133   
0.8933809787025 0.3345555803379 -0.1686333766476   0.03628070748546 -0.1304910388433   
1.055813883921 0.308069586485 -0.180626072556   0.02286675257529 -0.1361928260063   
1.21824678914 0.2841614402884 -0.1869664303677   0.01355438404269 -0.1388191630631   
1.380679694358 0.263162297999 -0.1898079139452   0.007541133446101 -0.1402008852505   
1.543112599577 0.2446412238726 -0.1908912103224   0.003611889987605 -0.1413997001187   
1.705545504796 0.2280511943948 -0.1911417568818   0.0008310176483434 -0.1427323721136   
1.867978410014 0.2129642352835 -0.1908993129028   -0.001345831369779 -0.1441107853432   
2.030411315233 0.1991027969437 -0.1902175490365   -0.003170104262388 -0.1453225778346   
2.192844220452 0.1863028103172 -0.1890639095734   -0.004725570499929 -0.1461816204384   
2.35527712567 0.1744683592844 -0.1874160736199   -0.006021187346507 -0.1465808371371   
2.517710030889 0.1635372709637 -0.1852920974172   -0.007045491641862 -0.1464923258665   
2.680142936108 0.1534599975998 -0.1827478598908   -0.007792422508966 -0.1459466297372   
2.842575841326 0.1441887942138 -0.1798629562263   -0.008269867848677 -0.1450085619063   
3.005008746545 0.1356734829178 -0.1767257800315   -0.008499372655953 -0.1437571169591   
3.167441651764 0.1278608626259 -0.1734220522023   -0.008512265347085 -0.1422715359205   
3.329874556982 0.1206958097853 -0.1700276658605   -0.008345061165236 -0.1406230646862   
3.492307462201 0.1141229191562 -0.1666052477423   -0.008035470303648 -0.138871065531   
3.654740367419 0.1080880839659 -0.1632033962243   -0.007619465883438 -0.1370620611359   
3.817173272638 0.1025397546234 -0.1598575926889   -0.007129423806337 -0.1352305302419   
3.979606177857 0.09742980581319 -0.1565919941443   -0.00659315725953 -0.1334005917125   
4.142039083075 0.09271403821296 -0.15342155381   -0.006033615926711 -0.1315880036939   
4.304471988294 0.08835238088596 -0.1503541218657   -0.005469033297373 -0.1298021315085   
4.466904893513 0.08430886979593 -0.1473923333997   -0.004913344707278 -0.1280476995005   
4.629337798731 0.08055147214846 -0.1445351970519   -0.00437674339172 -0.1263262486915   
4.79177070395 0.07705181422193 -0.1417793652364   -0.003866282200967 -0.1246372872999   
4.954203609169 0.07378485729239 -0.139120105585   -0.003386461336565 -0.1229791573381   
5.116636514387 0.070728554013 -0.1365520124904   -0.002939767059768 -0.1213496575347   
5.279069419606 0.06786350751661 -0.1340695044144   -0.002527143802092 -0.1197464680338   
5.441502324825 0.06517264753499 -0.1316671520555   -0.002148393798209 -0.11816742076   
5.603935230043 0.06264093186235 -0.1293398779993   -0.001802505758962 -0.1166106543423   
5.766368135262 0.060255077268 -0.1270830623196   -0.00148791832521 -0.1150746861427   
5.92880104048 0.05800332097903 -0.1248925821093   -0.00120272617379 -0.1135584274711   
6.091233945699 0.05587521200742 -0.122764806834   -0.0009448373207845 -0.1120611621295   
6.253666850918 0.05386143041297 -0.1206965660791   -0.0007120899984054 -0.1105825033185   
6.416099756136 0.05195363196864 -0.1186851018357   -0.0005023368147762 -0.1091223397419   
6.578532661355 0.05014431544548 -0.116728013911   -0.0003135029775496 -0.1076807784096   
6.740965566574 0.04842670971474 -0.1148232042861   -0.000143624386246 -0.1062580890799   
6.903398471792 0.04679467797515 -0.1129688241529   9.129582444739e-06 -0.1048546533692   
7.065831377011 0.04524263666523 -0.1111632258281   0.0001464446699702 -0.1034709201712   
7.22826428223 0.04376548681982 -0.1094049206466   0.0002698585551759 -0.1021073680588   
7.390697187448 0.04235855595294 -0.1076925431877   0.0003807634390929 -0.1007644746881   
7.553130092667 0.04101754876781 -0.1060248216916   0.0004804124830461 -0.09944269280995   
7.715562997886 0.03973850525279 -0.1044005542224   0.0005699286572831 -0.09814243225606   
7.877995903104 0.03851776494589 -0.1028185899655   0.0006503149273342 -0.09686404714572   
8.040428808323 0.03735193633108 -0.1012778149791   0.0007224650011659 -0.09560782752667   
8.202861713541 0.0362378705144 -0.09977714170777   0.0007871740863529 -0.09437399468477   
8.36529461876 0.03517263845661 -0.09831550160317   0.0008451492868407 -0.09316269941121   
8.527727523979 0.03415351117747 -0.09689184025004   0.0008970194007015 -0.09197402258946   
8.690160429197 0.03317794243652 -0.09550511446707   0.0009433439765674 -0.09080797754505   
8.852593334416 0.03224355349544 -0.094154290923   0.0009846215634226 -0.08966451368331   
9.015026239635 0.03134811962438 -0.09283834588032   0.00102129713481 -0.0885435210181   
9.177459144853 0.03048955808745 -0.09155626574542   0.001053768706604 -0.08744483526662   
9.339892050072 0.02966591738186 -0.09030704816424   0.001082393187529 -0.08636824324942   
9.502324955291 0.02887536754673 -0.08908970345545   0.001107491518102 -0.08531348839056   
9.664757860509 0.02811619139661 -0.08790325621904   0.001129353160028 -0.08428027616065   
9.827190765728 0.02738677654983 -0.08674674699657   0.001148239999105 -0.0832682793457   
9.989623670947 0.02668560815364 -0.08561923389183   0.001164389726412 -0.08227714305803   
10.15205657617 0.02601126222044 -0.0845197940866   0.001178018760171 -0.08130648943218   
10.31448948138 0.02536239950233 -0.08344752520748   0.001189324762684 -0.08035592197089   
10.4769223866 0.02473775984741 -0.08240154651661   0.001198488807937 -0.07942502952278   
10.63935529182 0.02413615698507 -0.08138099991192   0.001205677244425 -0.07851338988694   
10.80178819704 0.0235564737011 -0.08038505073263   0.001211043298438 -0.07762057304924   
10.96422110226 0.02299765736076 -0.07941288837297   0.001214728452144 -0.07674614406266   
11.12665400748 0.02245871575411 -0.07846372671236   0.00121686363141 -0.07588966558899   
11.2890869127 0.02193871323226 -0.07753680437396   0.001217570231318 -0.07505070012257   
11.45151981791 0.02143676711114 -0.07663138482569   0.001216961002943 -0.07422881191897   
11.61395272313 0.02095204432265 -0.07574675633922   0.00121514082382 -0.07342356865219   
11.77638562835 0.02048375829307 -0.07488223182278   0.001212207369306 -0.07263454282465   
11.93881853357 0.02003116603121 -0.0740371485437   0.001208251700572 -0.07186131295315   
12.10125143879 0.01959356541291 -0.07321086775593   0.001203358782011 -0.07110346455375   
