0.08121645260932 48.00741998087 -0.02979476405775   40.51526373706 -1.359111993694   
0.243649357828 47.99572726857 -0.08758088703476   41.57236653661 -3.661912061636   
0.4060822630466 47.97514882386 -0.1381729088275   43.17682489712 -5.075983222131   
0.5685151682652 47.94093529767 -0.1906688995633   44.82370890112 -5.744209745576   
0.7309480734839 47.91481643619 -0.2038620956974   46.11107910064 -5.855667528132   
0.8933809787025 47.88111528444 -0.2403337175619   47.23272188195 -5.732474106583   
1.055813883921 47.85063079457 -0.2664160726892   48.07754041949 -5.524705146066   
1.21824678914 47.82662181823 -0.2756290156192   48.66755815709 -5.317957148159   
1.380679694358 47.8086126192 -0.2785096312818   49.06909531914 -5.119752163574   
1.543112599577 47.79480819889 -0.284881558294   49.34064013195 -4.916148689359   
1.705545504796 47.78291123819 -0.2985097590944   49.52689222259 -4.701348114705   
1.867978410014 47.77083322556 -0.3183967573078   49.65975187408 -4.480135861272   
2.030411315233 47.75710677773 -0.3414796972053   49.76016983914 -4.261605593324   
2.192844220452 47.74096928653 -0.3645990644964   49.84082498527 -4.05399934035   
2.35527712567 47.7222693701 -0.3854231242019   49.90884447561 -3.86266410806   
2.517710030889 47.70131063004 -0.4026477612005   49.96794099481 -3.690041454173   
2.680142936108 47.67868592425 -0.415842207285   50.0198649146 -3.536414365201   
2.842575841326 47.65512644821 -0.4251855070062   50.06532047356 -3.400714835322   
3.005008746545 47.63137869815 -0.4312147757453   50.10452212642 -3.281152221225   
3.167441651764 47.60811535366 -0.4346286857126   50.13752159204 -3.175638149087   
3.329874556982 47.58588020794 -0.4361515961282   50.16438938633 -3.082051864085   
3.492307462201 47.56506295593 -0.4364492022801   50.18530308181 -2.998395999046   
3.654740367419 47.54589731969 -0.4360832106265   50.20057595551 -2.922880883775   
3.817173272638 47.52847535977 -0.4354935220438   50.21064898303 -2.853962778834   
3.979606177857 47.51277136499 -0.4349985730131   50.21606253584 -2.790352256203   
4.142039083075 47.49866988241 -0.4348066910012   50.21741949009 -2.7310033556   
4.304471988294 47.48599385525 -0.4350332154611   50.21534778254 -2.675090895877   
4.466904893513 47.47453019959 -0.4357196916413   50.2104674179 -2.621981356443   
4.629337798731 47.46405131936 -0.4368526892933   50.20336450292 -2.571201371302   
4.79177070395 47.45433196879 -0.4383807650032   50.19457307054 -2.522406751127   
4.954203609169 47.44516150929 -0.4402288146292   50.18456424916 -2.475353985816   
5.116636514387 47.43635200885 -0.4423095747416   50.17374164679 -2.429875350744   
5.279069419606 47.42774284037 -0.444532369726   50.16244154287 -2.385858087278   
5.441502324825 47.41920250433 -0.4468093980986   50.15093648032 -2.343227649513   
5.603935230043 47.41062837791 -0.4490599447757   50.13944101445 -2.301934699724   
5.766368135262 47.40194501526 -0.4512129286724   50.1281186118 -2.261945366528   
5.92880104048 47.39310152182 -0.4532081717793   50.11708894268 -2.223234213905   
6.091233945699 47.38406841752 -0.454996730098   50.10643503898 -2.185779378799   
6.253666850918 47.37483430308 -0.4565405699772   50.0962099779 -2.149559383755   
6.416099756136 47.36540255499 -0.4578118163149   50.08644289928 -2.11455120164   
6.578532661355 47.35578820206 -0.4587917469503   50.07714426997 -2.080729225465   
6.740965566574 47.34601507864 -0.4594696625096   50.06831038282 -2.048064869332   
6.903398471792 47.33611330575 -0.4598417235958   50.05992712382 -2.016526589136   
7.065831377011 47.32611711929 -0.4599098186107   50.0519730685 -1.986080167172   
7.22826428223 47.31606304237 -0.4596805021111   50.04442198242 -1.956689145877   
7.390697187448 47.30598838359 -0.459164027682   50.03724480389 -1.928315331674   
7.553130092667 47.29593003454 -0.4583734867997   50.03041118611 -1.900919314347   
7.715562997886 47.28592353459 -0.4573240567151   50.02389066992 -1.874460966704   
7.877995903104 47.27600236948 -0.4560323550326   50.01765355173 -1.848899903685   
8.040428808323 47.26619747041 -0.4545158945773   50.01167150299 -1.824195888781   
8.202861713541 47.25653688194 -0.4527926306122   50.00591799022 -1.800309183702   
8.36529461876 47.24704556962 -0.450880590807   50.00036853702 -1.777200840291   
8.527727523979 47.23774534086 -0.4487975786541   49.99500086265 -1.754832937798   
8.690160429197 47.22865485599 -0.4465609406485   49.98979492636 -1.733168769301   
8.852593334416 47.21978970911 -0.4441873885899   49.98473290088 -1.712172982874   
9.015026239635 47.21116256147 -0.441692868573   49.97979909446 -1.691811682511   
9.177459144853 47.20278331282 -0.4390924692665   49.97497983679 -1.672052494551   
9.339892050072 47.19465929844 -0.4364003628721   49.97026334125 -1.652864604767   
9.502324955291 47.18679550191 -0.4336297727956   49.96563955304 -1.63421877072   
9.664757860509 47.17919477557 -0.4307929629837   49.96109999059 -1.616087314035   
9.827190765728 47.17185806217 -0.4279012444872   49.95663758607 -1.598444096236   
9.989623670947 47.16478461284 -0.4249649954552   49.95224652913 -1.581264481675   
10.15205657617 47.15797219753 -0.4219936914101   49.9479221169 -1.564525290472   
10.31448948138 47.15141730517 -0.4189959430791   49.94366061235 -1.548204743976   
10.4769223866 47.14511533176 -0.4159795395601   49.93945911238 -1.532282404904   
10.63935529182 47.1390607549 -0.4129514949993   49.93531542649 -1.516739113965   
10.80178819704 47.13324729446 -0.4099180972906   49.93122796608 -1.501556924506   
10.96422110226 47.12766805878 -0.4068849575412   49.92719564477 -1.486719036224   
11.12665400748 47.1223156768 -0.4038570594264   49.92321778911 -1.472209729196   
11.2890869127 47.1171824164 -0.400838807644   49.91929405941 -1.458014298794   
11.45151981791 47.11226028944 -0.3978340749048   49.91542438012 -1.444118992191   
11.61395272313 47.10754114436 -0.3948462470671   49.91160887902 -1.430510946941   
