              Im{iWn}     Re{Delta_1}[1,1]     Im{Delta_1}[1,1]     Re{Delta_1}[2,1]     Im{Delta_1}[2,1]     Re{Delta_1}[1,2]     Im{Delta_1}[1,2]     Re{Delta_1}[2,2]     Im{Delta_1}[2,2]
     0.08121645260967     0.27126768304871    -0.00940690600570     0.46482789672811    -0.02978311662138     0.26922712730396    -0.00924585015878     0.90178302863740    -0.06493858271403
     0.24364935782901     0.26890903499780    -0.02793693126668     0.45904430501103    -0.08861340858032     0.26694804925802    -0.02746793247744     0.87754773931233    -0.19138034286109
     0.40608226304835     0.26431405290902    -0.04571746971115     0.44791130875283    -0.14553549995278     0.26251143020067    -0.04497337185183     0.82983707570710    -0.31032978248485
     0.56851516826768     0.25800436251062    -0.06241953008097     0.43260890951777    -0.19959595240376     0.25635719104798    -0.06147535045016     0.76781963710008    -0.41649541054284
     0.73094807348702     0.24782197426274    -0.07548349391052     0.40889428209499    -0.24771193735681     0.24649484578884    -0.07438032393556     0.63485587720393    -0.45240729594922
     0.89338097870636     0.24097865911655    -0.08787617118553     0.39000590374719    -0.29170877705183     0.23980289522804    -0.08669940934484     0.60483365636732    -0.49698309225989
     1.05581388392570     0.23264293811826    -0.09941046727822     0.36820660852651    -0.33327260088486     0.23164903693097    -0.09816140839946     0.55237220771725    -0.54410778685022
     1.21824678914504     0.22370101695131    -0.10908601053477     0.34484160302009    -0.37106980255256     0.22295581909497    -0.10779501901071     0.49523709894127    -0.57803442663223
     1.38067969436437     0.21503823402808    -0.11720408628992     0.32081220771019    -0.40558016535977     0.21453949005848    -0.11594006445987     0.44030806137827    -0.60319898132535
     1.54311259958371     0.20693369595189    -0.12439464245282     0.29636679891266    -0.43716760484663     0.20662936639884    -0.12320335174100     0.38943644027173    -0.62232618521926
     1.70554550480305     0.19924754487358    -0.13101111878688     0.27162973831905    -0.46592390972424     0.19908466735185    -0.12991143242203     0.34315243541796    -0.63680831129161
     1.86797841002239     0.19183290793027    -0.13714383943334     0.24679301812577    -0.49189347203512     0.19177109387492    -0.13614122298437     0.30167388492782    -0.64774690917502
     2.03041131524173     0.18462288084159    -0.14281188885394     0.22207126756172    -0.51519796634603     0.18463354960333    -0.14190510108752     0.26481040849746    -0.65644827683909
     2.19284422046107     0.17757924711180    -0.14803713226090     0.19763178266285    -0.53603745427621     0.17764224123282    -0.14722125734460     0.23165376899926    -0.66420130877014
     2.35527712568040     0.17066667049847    -0.15283022586466     0.17356509733205    -0.55462573952326     0.17076726272681    -0.15209771906340     0.20081951964265    -0.67157765821992
     2.51771003089974     0.16387306191059    -0.15718380110264     0.14992036908693    -0.57113365115830     0.16400076713101    -0.15652515295119     0.17129601546852    -0.67830095556104
     2.68014293611908     0.15721615172524    -0.16109729476483     0.12675283124964    -0.58569534594432     0.15736423293318    -0.16050252412725     0.14281505948209    -0.68391037783980
     2.84257584133842     0.15072320632089    -0.16459015591912     0.10413003522252    -0.59843906488134     0.15088766696159    -0.16405033438656     0.11549886980695    -0.68822703502672
     3.00500874655776     0.14441533558564    -0.16769451006531     0.08211683176437    -0.60949863502810     0.14459366751230    -0.16720247163128     0.08949276837824    -0.69132569878209
     3.16744165177710     0.13830475540230    -0.17044552026538     0.06076577006606    -0.61901002616022     0.13849497322050    -0.16999583014037     0.06485240079105    -0.69337650783345
     3.32987455699643     0.13239706108897    -0.17287673983023     0.04011543122203    -0.62710599918284     0.13259717766204    -0.17246530175787     0.04155923422213    -0.69455170539869
     3.49230746221577     0.12669347132233    -0.17501881152998     0.02019209350274    -0.63391293460000     0.12690134013960    -0.17464240795019     0.01955603823460    -0.69499555887886
     3.65474036743511     0.12119216962394    -0.17689926826290     0.00101199304004    -0.63954956257727     0.12140555107658    -0.17655519492478    -0.00122882112593    -0.69482228525387
     3.81717327265445     0.11588916210226    -0.17854251308438    -0.01741672409278    -0.64412673436050     0.11610587258931    -0.17822836057089    -0.02086894811692    -0.69412200772714
     3.97960617787379     0.11077901186788    -0.17996986159722    -0.03509251735080    -0.64774764175207     0.11099705543011    -0.17968342106341    -0.03943470393389    -0.69296727972121
     4.14203908309312     0.10585552446948    -0.18119973314248    -0.05201935249896    -0.65050815796216     0.10607316293287    -0.18093897160695    -0.05699160764932    -0.69141816620334
     4.30447198831246     0.10111231325532    -0.18224801057033    -0.06820585000899    -0.65249715664050     0.10132807656075    -0.18201106645008    -0.07360028279229    -0.68952573297701
     4.46690489353180     0.09654318004251    -0.18312849763070    -0.08366456623759    -0.65379677846534     0.09675584006920    -0.18291366975030    -0.08931690863926    -0.68733429274283
