  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
   2    0   -1       2    0    9       1    1      4.31110907531355   0.28779406032887
   2   -1    0       2    9    0       1    1      4.31110907531355   0.28780091067072
   2   -1   -1       2    9    9       1    1      4.31110907531355   0.28779458562739
  -2    0    1       8    0    1       1    1      4.31110907531355   0.28779406032887
  -2    1    0       8    1    0       1    1      4.31110907531355   0.28780091067072
  -2    1    1       8    1    1       1    1      4.31110907531355   0.28779458562739
  -1    0    2       9    0    2       1    1      4.31110907531355   0.28779994692393
  -1    0   -1       9    0    9       1    1      4.31110907531355   0.28780413977553
  -1    2    0       9    2    0       1    1      4.31110907531355   0.28779554755989
  -1    2   -1       9    2    9       1    1      4.31110907531355   0.28779039201954
  -1   -1    0       9    9    0       1    1      4.31110907531355   0.28779082944817
  -1   -1    2       9    9    2       1    1      4.31110907531355   0.28778070803918
   0    0    2       0    0    2       1    1      4.97803997027623   0.16449534755209
   0    0   -2       0    0    8       1    1      4.97803997027623   0.16449534755209
   0    2    0       0    2    0       1    1      4.97803997027623   0.16452112414859
   0    2   -2       0    2    8       1    1      4.97803997027623   0.16451884765025
   0   -2    0       0    8    0       1    1      4.97803997027623   0.16452112414859
   0   -2    2       0    8    2       1    1      4.97803997027623   0.16451884765025
   2    0    0       2    0    0       1    1      4.97803997027623   0.16452203312852
   2    0   -2       2    0    8       1    1      4.97803997027623   0.16451408822075
   2   -2    0       2    8    0       1    1      4.97803997027623   0.16450238472742
  -2    0    0       8    0    0       1    1      4.97803997027623   0.16452203312852
  -2    0    2       8    0    2       1    1      4.97803997027623   0.16451408822075
  -2    2    0       8    2    0       1    1      4.97803997027623   0.16450238472742
   1    2   -2       1    2    8       1    1      5.56561788412434   0.03036072170881
   1    2   -1       1    2    9       1    1      5.56561788412434   0.03037158979047
   1   -2    2       1    8    2       1    1      5.56561788412434   0.03037188918333
   1   -2   -1       1    8    9       1    1      5.56561788412434   0.03035961408555
   1   -1    2       1    9    2       1    1      5.56561788412434   0.03036752831513
   1   -1   -2       1    9    8       1    1      5.56561788412434   0.03035997423737
   2    1   -2       2    1    8       1    1      5.56561788412434   0.03037379839942
   2    1   -1       2    1    9       1    1      5.56561788412434   0.03036125144596
   2   -2    1       2    8    1       1    1      5.56561788412434   0.03036532251007
   2   -2   -1       2    8    9       1    1      5.56561788412434   0.03035807343173
   2   -1    1       2    9    1       1    1      5.56561788412434   0.03037242250958
   2   -1   -2       2    9    8       1    1      5.56561788412434   0.03036151922567
  -2    1    2       8    1    2       1    1      5.56561788412434   0.03036151922567
  -2    1   -1       8    1    9       1    1      5.56561788412434   0.03037242250958
  -2    2    1       8    2    1       1    1      5.56561788412434   0.03035807343173
  -2    2   -1       8    2    9       1    1      5.56561788412434   0.03036532251007
  -2   -1    1       8    9    1       1    1      5.56561788412434   0.03036125144596
  -2   -1    2       8    9    2       1    1      5.56561788412434   0.03037379839942
  -1    1    2       9    1    2       1    1      5.56561788412434   0.03035997423737
  -1    1   -2       9    1    8       1    1      5.56561788412434   0.03036752831513
  -1    2    1       9    2    1       1    1      5.56561788412434   0.03035961408555
  -1    2   -2       9    2    8       1    1      5.56561788412434   0.03037188918333
  -1   -2    1       9    8    1       1    1      5.56561788412434   0.03037158979047
  -1   -2    2       9    8    2       1    1      5.56561788412434   0.03036072170881
   1    1    1       1    1    1       1    1      6.09682892317815  -0.02219343353040
  -1   -1   -1       9    9    9       1    1      6.09682892317815  -0.02219343353040
   1    1   -3       1    1    7       1    1      6.09682892317815  -0.02220206226133
   1   -3    1       1    7    1       1    1      6.09682892317815  -0.02219802366407
   3   -1   -1       3    9    9       1    1      6.09682892317815  -0.02219343485524
  -3    1    1       7    1    1       1    1      6.09682892317815  -0.02219343485524
  -1    3   -1       9    3    9       1    1      6.09682892317815  -0.02219802366407
  -1   -1    3       9    9    3       1    1      6.09682892317815  -0.02220206226133
   0    1    2       0    1    2       1    1      6.58532788894513   0.12130396424858
   0    1   -3       0    1    7       1    1      6.58532788894513   0.12131200147352
   0    2    1       0    2    1       1    1      6.58532788894513   0.12130497541913
   0    2   -3       0    2    7       1    1      6.58532788894513   0.12130811354073
   0    3   -2       0    3    8       1    1      6.58532788894513   0.12131011435901
   0    3   -1       0    3    9       1    1      6.58532788894513   0.12130705841975
   0   -3    1       0    7    1       1    1      6.58532788894513   0.12130705841975
   0   -3    2       0    7    2       1    1      6.58532788894513   0.12131011435901
   0   -2    3       0    8    3       1    1      6.58532788894513   0.12130811354073
   0   -2   -1       0    8    9       1    1      6.58532788894513   0.12130497541913
   0   -1    3       0    9    3       1    1      6.58532788894513   0.12131200147352
   0   -1   -2       0    9    8       1    1      6.58532788894513   0.12130396424858
   1    0    2       1    0    2       1    1      6.58532788894513   0.12131972998434
   1    0   -3       1    0    7       1    1      6.58532788894513   0.12131199798965
   1    2    0       1    2    0       1    1      6.58532788894513   0.12130787994217
   1    2   -3       1    2    7       1    1      6.58532788894513   0.12130758732593
   1   -3    0       1    7    0       1    1      6.58532788894513   0.12130753465308
   1   -3    2       1    7    2       1    1      6.58532788894513   0.12131064090041
   2    0    1       2    0    1       1    1      6.58532788894513   0.12131063621871
   2    0   -3       2    0    7       1    1      6.58532788894513   0.12130966223446
   2    1    0       2    1    0       1    1      6.58532788894513   0.12130338225425
   2    1   -3       2    1    7       1    1      6.58532788894513   0.12130266431214
   2   -3    0       2    7    0       1    1      6.58532788894513   0.12130987299672
   2   -3    1       2    7    1       1    1      6.58532788894513   0.12131639925805
   3    0   -2       3    0    8       1    1      6.58532788894513   0.12131039153917
   3    0   -1       3    0    9       1    1      6.58532788894513   0.12131010765487
   3   -2    0       3    8    0       1    1      6.58532788894513   0.12131721928482
   3   -2   -1       3    8    9       1    1      6.58532788894513   0.12130731124774
   3   -1    0       3    9    0       1    1      6.58532788894513   0.12130390608646
   3   -1   -2       3    9    8       1    1      6.58532788894513   0.12130162669508
  -3    0    1       7    0    1       1    1      6.58532788894513   0.12131010765487
  -3    0    2       7    0    2       1    1      6.58532788894513   0.12131039153917
  -3    1    0       7    1    0       1    1      6.58532788894513   0.12130390608646
  -3    1    2       7    1    2       1    1      6.58532788894513   0.12130162669508
  -3    2    0       7    2    0       1    1      6.58532788894513   0.12131721928482
  -3    2    1       7    2    1       1    1      6.58532788894513   0.12130731124774
  -2    0    3       8    0    3       1    1      6.58532788894513   0.12130966223446
  -2    0   -1       8    0    9       1    1      6.58532788894513   0.12131063621871
  -2    3    0       8    3    0       1    1      6.58532788894513   0.12130987299672
  -2    3   -1       8    3    9       1    1      6.58532788894513   0.12131639925805
  -2   -1    0       8    9    0       1    1      6.58532788894513   0.12130338225425
  -2   -1    3       8    9    3       1    1      6.58532788894513   0.12130266431214
  -1    0    3       9    0    3       1    1      6.58532788894513   0.12131199798965
  -1    0   -2       9    0    8       1    1      6.58532788894513   0.12131972998434
  -1    3    0       9    3    0       1    1      6.58532788894513   0.12130753465308
  -1    3   -2       9    3    8       1    1      6.58532788894513   0.12131064090041
  -1   -2    0       9    8    0       1    1      6.58532788894513   0.12130787994217
  -1   -2    3       9    8    3       1    1      6.58532788894513   0.12130758732593
   2    2   -2       2    2    8       1    1      7.04001164000000   0.00497340585177
   2   -2    2       2    8    2       1    1      7.04001164000000   0.00497386948260
   2   -2   -2       2    8    8       1    1      7.04001164000000   0.00498843728696
  -2    2    2       8    2    2       1    1      7.04001164000000   0.00498843728696
  -2    2   -2       8    2    8       1    1      7.04001164000000   0.00497386948260
  -2   -2    2       8    8    2       1    1      7.04001164000000   0.00497340585177
   1    3   -2       1    3    8       1    1      7.46705995541434   0.01376991396580
   2    2   -3       2    2    7       1    1      7.46705995541434   0.01376863606082
   2    2   -1       2    2    9       1    1      7.46705995541434   0.01376719737497
