              Im{iWn}    Re{GreenF_1}[1,1]    Im{GreenF_1}[1,1]    Re{GreenF_1}[2,1]    Im{GreenF_1}[2,1]    Re{GreenF_1}[1,2]    Im{GreenF_1}[1,2]    Re{GreenF_1}[2,2]    Im{GreenF_1}[2,2]
     0.10449850235777     0.36623277983833    -0.58971880009734     0.65769846104477    -0.19874205388289     0.20599127529110    -0.22856682337432    -0.31734037952801    -0.09314782607570
     0.31349550707332     0.34594709765107    -0.41910303249333     0.55532324473048    -0.32291196115339     0.10190317542546    -0.36808340310684    -0.28452201702702    -0.19146989663834
     0.52249251178887     0.29938341610465    -0.36554362717197     0.43928946444130    -0.35508000317752     0.05638331397633    -0.40380176198872    -0.24837816573089    -0.25537599676499
     0.73148951650442     0.25865004110198    -0.33301532146548     0.35207986375561    -0.35039204988268     0.03096381100995    -0.40424807431172    -0.21327734789167    -0.29015035723621
     0.94048652121997     0.22556148696406    -0.30941667288478     0.28960624167157    -0.33390125757249     0.01554467259897    -0.39156524734358    -0.18226554832171    -0.30595847467789
     1.14948352593552     0.19903808777701    -0.29070172067048     0.24442678625070    -0.31470953283202     0.00586595266328    -0.37381668557261    -0.15601229613433    -0.31016129134778
     1.35848053065106     0.17721781962316    -0.27498451886704     0.21075340598630    -0.29616605179203    -0.00019351998810    -0.35466593304798    -0.13422450329173    -0.30740802226532
     1.56747753536661     0.15895271375829    -0.26132149874735     0.18485196424626    -0.27926165306995    -0.00398310525670    -0.33575058084154    -0.11623683543054    -0.30062065920029
     1.77647454008216     0.14348608566959    -0.24918746077400     0.16434555051316    -0.26413610885726    -0.00634613621930    -0.31775180996864    -0.10137877215219    -0.29160889268885
     1.98547154479771     0.13025164413802    -0.23825958013106     0.14769295480831    -0.25064941135448    -0.00779632691393    -0.30092924531488    -0.08906940178917    -0.28149326727850
     2.19446854951326     0.11881139408383    -0.22831967751944     0.13387355294857    -0.23859064141239    -0.00865024987827    -0.28535402458432    -0.07882469691925    -0.27096594980354
     2.40346555422881     0.10882970347529    -0.21920936468743     0.12219636672470    -0.22775189601359    -0.00910956697492    -0.27100707980591    -0.07024781697152    -0.26044873242727
     2.61246255894436     0.10005141339025    -0.21080869187519     0.11218202846215    -0.21795130258646    -0.00930719091922    -0.25782414279235    -0.06301751834013    -0.25019133382404
     2.82145956365990     0.09228136734375    -0.20302460370085     0.10348902603489    -0.20903694218608    -0.00933275516823    -0.24571940550859    -0.05687659191036    -0.24033411466612
     3.03045656837545     0.08536752525058    -0.19578358339183     0.09586731381584    -0.20088411629716    -0.00924727269656    -0.23459926115052    -0.05162072726833    -0.23094853714452
     3.23945357309100     0.07918850582731    -0.18902643472458     0.08912890384834    -0.19339083545730    -0.00909220052711    -0.22437043977579    -0.04708830460173    -0.22206327017367
     3.44845057780655     0.07364504390985    -0.18270445798582     0.08312900003538    -0.18647336309706    -0.00889544185216    -0.21494458044233    -0.04315152365779    -0.21368094275381
     3.65744758252210     0.06865435267639    -0.17677667590594     0.07775369399339    -0.18006241028064    -0.00867550369982    -0.20624049023737    -0.03970903710243    -0.20578881560922
     3.86644458723765     0.06414642445979    -0.17120787134537     0.07291176949147    -0.17410008613372    -0.00844443476969    -0.19818495356083    -0.03668004113174    -0.19836552237478
     4.07544159195319     0.06006154016917    -0.16596723362675     0.06852910653284    -0.16853752941694    -0.00820990495091    -0.19071268997116    -0.03399965009260    -0.19138528770984
     4.28443859666874     0.05634850326210    -0.16102743985422     0.06454475534515    -0.16333309631671    -0.00797666426807    -0.18376585806786    -0.03161533423024    -0.18482053506299
     4.49343560138429     0.05296330483904    -0.15636403203393     0.06090810435756    -0.15845098018123    -0.00774755173820    -0.17729335519453    -0.02948420169949    -0.17864347143770
     4.70243260609984     0.04986805392260    -0.15195498623346     0.05757678208254    -0.15386015710692    -0.00752418101256    -0.17125006018536    -0.02757093247913    -0.17282702483580
     4.91142961081539     0.04703008405128    -0.14778040160167     0.05451506479416    -0.14953357322588    -0.00730739761283    -0.16559609928350    -0.02584620653703    -0.16734537375461
     5.12042661553094     0.04442119003451    -0.14382226216784     0.05169264297373    -0.14544750979836    -0.00709757774889    -0.16029617383704    -0.02428550266632    -0.16217422094768
     5.32942362024649     0.04201697041793    -0.14006424252729     0.04908364967143    -0.14158107898026    -0.00689481941596    -0.15531896409932    -0.02286817393659    -0.15729090814097
     5.53842062496203     0.03979626119437    -0.13649154075474     0.04666588530343    -0.13791581623836    -0.00669906173230    -0.15063661023308    -0.02157672955474    -0.15267443315367
     5.74741762967758     0.03774065034862    -0.13309072954498     0.04442019327517    -0.13443534520087    -0.00651015748961    -0.14622426508126    -0.02039627135523    -0.14830540847796
     5.95641463439313     0.03583406424346    -0.12984962104735     0.04232995364144    -0.13112509784788    -0.00632791589216    -0.14205971061227    -0.01931404695962    -0.14416598615297
     6.16541163910868     0.03406241733821    -0.12675714326687     0.04038067048419    -0.12797207798221    -0.00615212678266    -0.13812302938804    -0.01831909180502    -0.14023976469841
     6.37440864382423     0.03241331705241    -0.12380322705726     0.03855963445684    -0.12496465938793    -0.00598257370903    -0.13439632288610    -0.01740193961532    -0.13651168807705
     6.58340564853978     0.03087581603302    -0.12097870319996     0.03685564601635    -0.12209241244928    -0.00581904050709    -0.13086346943276    -0.01655438620498    -0.13296794293485
     6.79240265325532     0.02944020469428    -0.11827520916618     0.03525878784417    -0.11934595457647    -0.00566131429174    -0.12750991553817    -0.01576929532783    -0.12959585796188
