              Im{iWn}     Re{Delta_1}[1,1]     Im{Delta_1}[1,1]     Re{Delta_1}[2,1]     Im{Delta_1}[2,1]
     0.08121645260967     0.27213786664375    -0.01163182946911     0.72974443012809    -0.07198000251129
     0.24364935782901     0.26761901840088    -0.03128913156508     0.69256802106248    -0.17669936967201
     0.40608226304835     0.26112640419155    -0.04849730932920     0.64455023973704    -0.25920868717590
     0.56851516826768     0.25370256261624    -0.06353556915127     0.59464161805229    -0.32422186919175
     0.73094807348702     0.24571506653135    -0.07690693417621     0.54620944985180    -0.37714519284939
     0.89338097870636     0.23760030700000    -0.08865420738294     0.50067951914512    -0.42073103204560
     1.05581388392570     0.22946061421680    -0.09918549593092     0.45780862660598    -0.45789495089313
     1.21824678914504     0.22132951352255    -0.10870654934445     0.41724803115348    -0.49010728584229
     1.38067969436437     0.21325607276453    -0.11731112397429     0.37878457797462    -0.51817171640964
     1.54311259958371     0.20529437529126    -0.12507446635751     0.34225015351426    -0.54267697497355
     1.70554550480305     0.19748698513850    -0.13207762644046     0.30747773333923    -0.56410832338926
     1.86797841002239     0.18985994417255    -0.13840286643901     0.27430751859911    -0.58286123079301
     2.03041131524173     0.18242560127811    -0.14412542019016     0.24260232893298    -0.59925009797499
     2.19284422046107     0.17518778634172    -0.14930928590003     0.21225479531672    -0.61352505760956
     2.35527712568040     0.16814624019907    -0.15400700331205     0.18318568257234    -0.62589064528021
     2.51771003089974     0.16129939362604    -0.15826150461016     0.15533761708298    -0.63652112951267
     2.68014293611908     0.15464570396527    -0.16210848708228     0.12866793050760    -0.64557099070330
     2.84257584133842     0.14818406999790    -0.16557850902530     0.10314257742536    -0.65318118616971
     3.00500874655776     0.14191378140652    -0.16869855476863     0.07873173582023    -0.65948248222857
     3.16744165177710     0.13583429726690    -0.17149308876822     0.05540698871108    -0.66459702685614
     3.32987455699643     0.12994500828695    -0.17398471452723     0.03313972557673    -0.66863900225524
     3.49230746221577     0.12424504744921    -0.17619456221490     0.01190037932638    -0.67171487538438
     3.65474036743511     0.11873316545515    -0.17814250517466    -0.00834181521400    -0.67392352902197
     3.81717327265445     0.11340766556276    -0.17984727640834    -0.02761876575628    -0.67535640664296
     3.97960617787379     0.10826638497943    -0.18132653157543    -0.04596331670121    -0.67609771968046
     4.14203908309312     0.10330670918754    -0.18259688699571    -0.06340898189783    -0.67622472299298
     4.30447198831246     0.09852560748418    -0.18367394896725    -0.07998966609812    -0.67580804614237
     4.46690489353180     0.09391968060589    -0.18457234288945    -0.09573940088050    -0.67491206288871
     4.62933779875114     0.08948521378435    -0.18530574591023    -0.11069210660771    -0.67359528216586
     4.79177070397048     0.08521823067016    -0.18588692409397    -0.12488138430977    -0.67191074690801
     4.95420360918982     0.08111454517923    -0.18632777365686    -0.13834033749358    -0.66990643055564
     5.11663651440915     0.07716980953137    -0.18663936518856    -0.15110142220153    -0.66762562408832
     5.27906941962849     0.07337955760718    -0.18683198960325    -0.16319632301804    -0.66510730878779
     5.44150232484783     0.06973924333153    -0.18691520464463    -0.17465585261871    -0.66238651166448
     5.60393523006717     0.06624427416308    -0.18689788096390    -0.18550987253663    -0.65949464170466
     5.76636813528651     0.06289003998613    -0.18678824701658    -0.19578723294557    -0.65645980595458
     5.92880104050584     0.05967193781431    -0.18659393224715    -0.20551572938892    -0.65330710505752
     6.09123394572518     0.05658539275422    -0.18632200821541    -0.21472207448576    -0.65005890828909
     6.25366685094452     0.05362587567505    -0.18597902747242    -0.22343188274750    -0.64673510844659
     6.41609975616386     0.05078891800247    -0.18557106010706    -0.23166966673663    -0.64335335717641
     6.57853266138320     0.04807012401401    -0.18510372796658    -0.23945884290436    -0.63992928149310
