              Im{iWn}     Re{Delta_1}[1,1]     Im{Delta_1}[1,1]     Re{Delta_1}[2,1]     Im{Delta_1}[2,1]
     0.08121645260967     0.26961039448619    -0.01005371395533     0.72215127870569    -0.05621061425156
     0.24364935782901     0.26618893600978    -0.02930357754399     0.69534902636125    -0.16053267832634
     0.40608226304835     0.26040661311460    -0.04663556044428     0.65253022045511    -0.24750837765428
     0.56851516826768     0.25336775345866    -0.06203975433218     0.60306568027014    -0.31740930993973
     0.73094807348702     0.24544592884781    -0.07535898372820     0.55425642677780    -0.37264922997748
     0.89338097870636     0.23766929509377    -0.08733239666378     0.50633106223872    -0.41835547413791
     1.05581388392570     0.22967243363323    -0.09821755972014     0.46126985540796    -0.45589383758655
     1.21824678914504     0.22144414130518    -0.10795933083774     0.41982231071060    -0.48729353642489
     1.38067969436437     0.21322458037766    -0.11660292231395     0.38156386926526    -0.51456605255546
     1.54311259958371     0.20519074001052    -0.12431770060188     0.34560961695202    -0.53893307889219
     1.70554550480305     0.19739488361356    -0.13127205475369     0.31123886321725    -0.56084201495035
     1.86797841002239     0.18982849408216    -0.13758416371464     0.27810086545743    -0.58037401906534
     2.03041131524173     0.18247007894760    -0.14333147051599     0.24611151750565    -0.59755757624895
     2.19284422046107     0.17530182376508    -0.14856753851013     0.21529849393151    -0.61248183391350
     2.35527712568040     0.16831276011796    -0.15333249966499     0.18570716336204    -0.62529873111772
     2.51771003089974     0.16149815368475    -0.15765874063413     0.15736445640099    -0.63619478397735
     2.68014293611908     0.15485797136060    -0.16157427483861     0.13027242430457    -0.64536557127467
     2.84257584133842     0.14839513729243    -0.16510486026133     0.10441245924803    -0.65299957964070
     3.00500874655776     0.14211387898690    -0.16827521776940     0.07975178012117    -0.65926986691097
     3.16744165177710     0.13601838126959    -0.17110954517067     0.05624930456478    -0.66433090575530
     3.32987455699643     0.13011187307439    -0.17363154148236     0.03386014974580    -0.66831853844619
     3.49230746221577     0.12439615860040    -0.17586417101666     0.01253870867968    -0.67135161099701
     3.65474036743511     0.11887151300045    -0.17782936083876    -0.00775951151932    -0.67353432273419
     3.81717327265445     0.11353681871481    -0.17954775485901    -0.02707701079438    -0.67495867238384
     3.97960617787379     0.10838982037310    -0.18103857569815    -0.04545407613327    -0.67570664737256
     4.14203908309312     0.10342740587043    -0.18231959338198    -0.06292894699282    -0.67585200161775
     4.30447198831246     0.09864585879190    -0.18340717369266    -0.07953815105915    -0.67546160116621
     4.46690489353180     0.09404105920033    -0.18431637314780    -0.09531686427601    -0.67459639337871
     4.62933779875114     0.08960863065488    -0.18506105307503    -0.11029921259960    -0.67331208675374
     4.79177070397048     0.08534404178967    -0.18565399449352    -0.12451848191835    -0.67165963025015
     4.95420360918982     0.08124267394840    -0.18610700400148    -0.13800723455659    -0.66968556695812
     5.11663651440915     0.07729986557869    -0.18643100692566    -0.15079734800243    -0.66743231740469
     5.27906941962849     0.07351094173733    -0.18663612753825    -0.16291999788177    -0.66493842888398
     5.44150232484783     0.06987123453827    -0.18673175782538    -0.17440560693073    -0.66223881191778
     5.60393523006717     0.06637609829141    -0.18672661681075    -0.18528377808949    -0.65936497403164
     5.76636813528651     0.06302092157394    -0.18662880235699    -0.19558322510594    -0.65634525406016
     5.92880104050584     0.05980113748748    -0.18644583704890    -0.20533170950133    -0.65320505626897
     6.09123394572518     0.05671223274796    -0.18618470939285    -0.21455598899318    -0.64996708176751
     6.25366685094452     0.05374975591142    -0.18585191124272    -0.22328177967486    -0.64665155418594
     6.41609975616386     0.05090932485703    -0.18545347210743    -0.23153373233643    -0.64327643681965
     6.57853266138320     0.04818663356303    -0.18499499080744    -0.23933542211470    -0.63985763901225
     6.74096556660254     0.04557745817736    -0.18448166481877    -0.24670934999738    -0.63640921021548
     6.90339847182187     0.04307766237990    -0.18391831755645    -0.25367695441758    -0.63294352079788
     7.06583137704121     0.04068320203734    -0.18330942379058    -0.26025863111871    -0.62947142921647
     7.22826428226055     0.03839012916291    -0.18265913335335    -0.26647375956563    -0.62600243559240
     7.39069718747989     0.03619459520144    -0.18197129326867    -0.27234073434183    -0.62254482205091
     7.55313009269923     0.03409285366956    -0.18124946842048    -0.27787700017561    -0.61910578040755
     7.71556299791856     0.03208126218570    -0.18049696086384    -0.28309908944369    -0.61569152792608
     7.87799590313790     0.03015628392883    -0.17971682787236    -0.28802266119599    -0.61230741195530
     8.04042880835724     0.02831448856742    -0.17891189880895    -0.29266254092438    -0.60895800428754
     8.20286171357658     0.02655255270007    -0.17808479089837    -0.29703276045240    -0.60564718608366
     8.36529461879592     0.02486725985027    -0.17723792397493    -0.30114659745854    -0.60237822418764
     8.52772752401526     0.02325550005603    -0.17637353427182    -0.30501661425657    -0.59915383961721
     8.69016042923459     0.02171426909524    -0.17549368731364    -0.30865469555157    -0.59597626896994
     8.85259333445393     0.02024066738458    -0.17460028996854    -0.31207208496556    -0.59284731943312
     9.01502623967327     0.01883189858964    -0.17369510171210    -0.31527942019038    -0.58976841803110
     9.17745914489261     0.01748526798153    -0.17277974515101    -0.31828676667425    -0.58674065569101
     9.33989205011195     0.01619818057303    -0.17185571585112    -0.32110364978893    -0.58376482665461
     9.50232495533129     0.01496813906608    -0.17092439151164    -0.32373908545534    -0.58084146371567
     9.66475786055062     0.01379274164024    -0.16998704052402    -0.32620160922949    -0.57797086971496
     9.82719076576996     0.01266967960903    -0.16904482995255    -0.32849930386931    -0.57515314568275
     9.98962367098930     0.01159673497038    -0.16809883297072    -0.33063982541664    -0.57238821597871
    10.15205657620864     0.01057177787388    -0.16715003578608    -0.33263042783862    -0.56967585074393
    10.31448948142798     0.00959276402667    -0.16619934408479    -0.33447798628013    -0.56701568594606
    10.47692238664731     0.00865773205706    -0.16524758902492    -0.33618901898330    -0.56440724127064
    10.63935529186665     0.00776480085365    -0.16429553280657    -0.33776970793334    -0.56184993608388
    10.80178819708599     0.00691216689524    -0.16334387384558    -0.33922591829117    -0.55934310366891
    10.96422110230533     0.00609810158567    -0.16239325157581    -0.34056321667379    -0.55688600391659
    11.12665400752467     0.00532094860538    -0.16144425090459    -0.34178688834274    -0.55447783463208
    11.28908691274401     0.00457912129063    -0.16049740634346    -0.34290195335998    -0.55211774160190
    11.45151981796334     0.00387110004927    -0.15955320583650    -0.34391318176867    -0.54980482755064
    11.61395272318268     0.00319542982083    -0.15861209430651    -0.34482510785463    -0.54753816010342
    11.77638562840202     0.00255071758743    -0.15767447693831    -0.34564204354204    -0.54531677885721
    11.93881853362136     0.00193562994089    -0.15674072221774    -0.34636809097440    -0.54313970165383
    12.10125143884070     0.00134889071039    -0.15581116474335    -0.34700715432982    -0.54100593013789
    12.26368434406003     0.00078927865409    -0.15488610782704    -0.34756295091669    -0.53891445467370
    12.42611724927937     0.00025562521721    -0.15396582589898    -0.34803902159400    -0.53686425868795
    12.58855015449871    -0.00025318764138    -0.15305056673081    -0.34843874055774    -0.53485432249808
    12.75098305971805    -0.00073822955309    -0.15214055349099    -0.34876532453275    -0.53288362667909
    12.91341596493739    -0.00120052377267    -0.15123598664254    -0.34902184140644    -0.53095115501920
    13.07584887015673    -0.00164104914270    -0.15033704570289    -0.34921121834178    -0.52905589710009
    13.23828177537606    -0.00206074198233    -0.14944389085151    -0.34933624939396    -0.52719685056255
    13.40071468059540    -0.00246049792007    -0.14855666446471    -0.34939960268596    -0.52537302303132
    13.56314758581474    -0.00284117362695    -0.14767549241191    -0.34940382710693    -0.52358343388246
    13.72558049103408    -0.00320358854361    -0.14680048552602    -0.34935135871785    -0.52182711553554
    13.88801339625342    -0.00354852643258    -0.14593174040978    -0.34924452654515    -0.52010311500828
    14.05044630147275    -0.00387673703068    -0.14506934118164    -0.34908555846507    -0.51841049443347
    14.21287920669209    -0.00418893743012    -0.14421335948486    -0.34887658601146    -0.51674833274663
    14.37531211191143    -0.00448581359667    -0.14336385672286    -0.34861964995319    -0.51511572538727
