              Im{iWn}     Re{SelfE_1}[1,1]     Im{SelfE_1}[1,1]     Re{SelfE_1}[2,1]     Im{SelfE_1}[2,1]
     0.08121645260967    47.92844645289829    -0.01690772801031    40.46629878499257    -1.40336914487869
     0.24364935782901    47.92685469994147    -0.05083526404017    41.54329771539133    -3.79552698614326
     0.40608226304835    47.92328639045940    -0.08541915628446    43.14742878752227    -5.28498707353110
     0.56851516826768    47.91831934072030    -0.11956646814504    44.73559329222010    -5.95237267443441
     0.73094807348702    47.90767718316829    -0.15723723608563    46.08940142730676    -6.06971152671849
     0.89338097870636    47.89550358422645    -0.19006161404556    47.11912267709698    -5.96022517671636
     1.05581388392570    47.88052106412724    -0.22197813627734    47.88658073343939    -5.73260605446611
     1.21824678914504    47.86178711044020    -0.25356097381192    48.44843432561184    -5.44941595044393
     1.38067969436437    47.83954721208882    -0.28306874071666    48.85877886280631    -5.15480716883686
     1.54311259958371    47.81484728444504    -0.30878659213943    49.16312686150361    -4.87294150620686
     1.70554550480305    47.78903564353964    -0.32994987553426    49.39437433842367    -4.61360822749697
     1.86797841002239    47.76334347805892    -0.34672986318184    49.57422747835827    -4.37903893116699
     2.03041131524173    47.73865009938933    -0.35986827020451    49.71651596696562    -4.16827066904167
     2.19284422046107    47.71543465200899    -0.37030062786259    49.83013485899320    -3.97926838001916
     2.35527712568040    47.69384352635191    -0.37890227771349    49.92105728945130    -3.80978461215955
     2.51771003089974    47.67379805404313    -0.38636705402927    49.99355065619859    -3.65765111180665
     2.68014293611908    47.65509553486714    -0.39317947809578    50.05086143899045    -3.52085611341902
     2.84257584133842    47.63748508930715    -0.39963697375329    50.09558575265385    -3.39755611176436
     3.00500874655776    47.62071678416346    -0.40589112031009    50.12986756350634    -3.28607373233366
     3.16744165177710    47.60456930669012    -0.41199065406491    50.15550753690659    -3.18489477294879
     3.32987455699643    47.58886267496506    -0.41791854043557    50.17402754951821    -3.09266521084981
     3.49230746221577    47.57346143490316    -0.42362085956958    50.18671385140011    -3.00818667766569
     3.65474036743511    47.55827228821585    -0.42902779381427    50.19464992304882    -2.93040947354506
     3.81717327265445    47.54323878155287    -0.43406796251842    50.19874397784573    -2.85842311603016
     3.97960617787379    47.52833473573583    -0.43867753015712    50.19975314810826    -2.79144497241633
     4.14203908309312    47.51355744525105    -0.44280539351662    50.19830510383765    -2.72880773937511
     4.30447198831246    47.49892126031256    -0.44641553276609    50.19491735489070    -2.66994649790023
     4.46690489353180    47.48445189108048    -0.44948739080347    50.19001433790444    -2.61438593907378
     4.62933779875114    47.47018159508620    -0.45201495304477    50.18394238075014    -2.56172819913398
     4.79177070397048    47.45614529377043    -0.45400503666020    50.17698266829466    -2.51164158452821
     4.95420360918982    47.44237758569646    -0.45547516984318    50.16936236681622    -2.46385035272493
     5.11663651440915    47.42891057717754    -0.45645133446916    50.16126408562473    -2.41812561555257
     5.27906941962849    47.41577242320056    -0.45696576182565    50.15283386327272    -2.37427736797305
     5.44150232484783    47.40298646000708    -0.45705490414235    50.14418786276406    -2.33214759791158
     5.60393523006717    47.39057081037766    -0.45675765304479    50.13541795088739    -2.29160440369909
     5.76636813528651    47.37853834965892    -0.45611383803776    50.12659632198928    -2.25253702991322
