  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
   0   -1    0       0    5    0       1    2      2.96578967437951  -0.17368076035019
  -1    0    0       5    0    0       1    2      2.96578967437951  -0.17368072394832
   0   -1   -1       0    5    5       1    2      2.96578967437951  -0.14705233427840
  -1    0   -1       5    0    5       1    2      2.96578967437951  -0.14705231003447
   0    0   -1       0    0    5       1    2      2.96578967621359  -0.17368350930711
  -1   -1    0       5    5    0       1    2      2.96578967621359  -0.14704838402109
   0    0   -2       0    0    4       1    2      4.19425997509686  -5.93330443543989
  -1   -1    1       5    5    1       1    2      4.19425997509686  -5.89485158868869
   1   -1   -1       1    5    5       1    2      4.19425998592476  -5.89482444955357
  -1    1   -1       5    1    5       1    2      4.19425998592476  -5.89483145213900
   0   -2    0       0    4    0       1    2      4.19425998592476  -5.93330042792544
  -2    0    0       4    0    0       1    2      4.19425998592476  -5.93331167937745
   0   -2    1       0    4    1       1    2      5.13689839929641  -0.00386510285152
  -2    0    1       4    0    1       1    2      5.13689839929641  -0.00386508227869
   1   -1   -2       1    5    4       1    2      5.13689839929641  -0.00423024132730
  -1    1   -2       5    1    4       1    2      5.13689839929641  -0.00423022792729
   0    1   -2       0    1    4       1    2      5.13689840247312  -0.00386535155251
   1    0   -2       1    0    4       1    2      5.13689840247312  -0.00386527155581
  -2   -1    1       4    5    1       1    2      5.13689840247312  -0.00423074773886
  -1   -2    1       5    4    1       1    2      5.13689840247312  -0.00423064862377
   1   -2    0       1    4    0       1    2      5.13689840707845  -0.00386482270623
   1   -2   -1       1    4    5       1    2      5.13689840707845  -0.00423002512630
  -2    1    0       4    1    0       1    2      5.13689840707845  -0.00386484664328
  -2    1   -1       4    1    5       1    2      5.13689840707845  -0.00422999894689
  -2   -1    2       4    5    2       1    2      6.63170731167017  -0.00564134225489
  -1   -2    2       5    4    2       1    2      6.63170731167017  -0.00564134375462
   0    1   -3       0    1    3       1    2      6.63170731167018  -0.01623832231292
   1    0   -3       1    0    3       1    2      6.63170731167018  -0.01623833480377
   2   -1   -2       2    5    4       1    2      6.63170732536652  -0.00564038379235
  -1    2   -2       5    2    4       1    2      6.63170732536652  -0.00564036703667
   0   -3    1       0    3    1       1    2      6.63170732536652  -0.01623585351847
  -3    0    1       3    0    1       1    2      6.63170732536652  -0.01623582040503
   1   -3    0       1    3    0       1    2      6.63170732975401  -0.01623747444749
   2   -2   -1       2    4    5       1    2      6.63170732975401  -0.00564096830614
  -3    1    0       3    1    0       1    2      6.63170732975401  -0.01623764463215
  -2    2   -1       4    2    5       1    2      6.63170732975401  -0.00564101179474
   1    1   -3       1    1    3       1    2      7.26467138610199  -0.00265186531614
  -2   -2    2       4    4    2       1    2      7.26467138610199  -0.00225895934224
   0    0    0       0    0    0       1    2      7.26467138676146  -0.00142998199080
  -1   -1   -1       5    5    5       1    2      7.26467138676146  -0.00191957113643
   1   -3    1       1    3    1       1    2      7.26467139261491  -0.00265169126061
   2   -2   -2       2    4    4       1    2      7.26467139261491  -0.00225802477135
  -3    1    1       3    1    1       1    2      7.26467139261491  -0.00265170071526
  -2    2   -2       4    2    4       1    2      7.26467139261491  -0.00225801739754
   0   -1    1       0    5    1       1    2      7.84674191508272  -0.00090111569900
  -1    0    1       5    0    1       1    2      7.84674191508272  -0.00090111534741
   0   -1   -2       0    5    4       1    2      7.84674191508273  -0.00039161595446
  -1    0   -2       5    0    4       1    2      7.84674191508273  -0.00039161908154
   0   -3    2       0    3    2       1    2      7.84674191748707  -0.00126750077943
   2   -1   -3       2    5    3       1    2      7.84674191748707  -0.00052697799987
  -3    0    2       3    0    2       1    2      7.84674191748707  -0.00126750829869
  -1    2   -3       5    2    3       1    2      7.84674191748707  -0.00052697731560
   0    2   -3       0    2    3       1    2      7.84674192095315  -0.00126748223232
   2    0   -3       2    0    3       1    2      7.84674192095315  -0.00126747972056
  -3   -1    2       3    5    2       1    2      7.84674192095315  -0.00052679518376
  -1   -3    2       5    3    2       1    2      7.84674192095315  -0.00052679057391
   1   -1    0       1    5    0       1    2      7.84674192156370  -0.00090122682317
  -1    1    0       5    1    0       1    2      7.84674192156370  -0.00090121322603
