  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
   2   -1    1       2    5    1       1    1     10.69330674541971  -0.00007637492835
  -2    1   -1       4    1    5       1    1     10.69330674541971  -0.00007637492835
  -1    2    1       5    2    1       1    1     10.69330674541971  -0.00007637407067
   1    2   -1       1    2    5       1    1     10.69330674948916  -0.00007647736775
   2    1   -1       2    1    5       1    1     10.69330674948916  -0.00007647736756
  -2   -1    1       4    5    1       1    1     10.69330674948916  -0.00007647736756
  -1   -2    1       5    4    1       1    1     10.69330674948916  -0.00007647736775
   0    1   -3       0    1    3       1    1     11.48645400636363  -0.00002014425408
   1    0   -3       1    0    3       1    1     11.48645400636363  -0.00002014409233
   1   -3    0       1    3    0       1    1     11.48645402557637  -0.00002007395323
  -3    1    0       3    1    0       1    1     11.48645402557637  -0.00002007419566
   0   -3    1       0    3    1       1    1     11.48645402596726  -0.00002007229479
  -3    0    1       3    0    1       1    1     11.48645402596726  -0.00002007254963
   2   -2    2       2    4    2       1    1     11.86315869751804  -0.00012662959831
   2   -2   -2       2    4    4       1    1     11.86315869751804  -0.00012662895529
  -2    2    2       4    2    2       1    1     11.86315869751804  -0.00012662895529
  -2    2   -2       4    2    4       1    1     11.86315869751804  -0.00012662959831
   2    2   -2       2    2    4       1    1     11.86315870485435  -0.00012671274149
  -2   -2    2       4    4    2       1    1     11.86315870485435  -0.00012671274149
   2   -1   -3       2    5    3       1    1     12.22826408335607   0.00004680238274
  -1    2   -3       5    2    3       1    1     12.22826408335607   0.00004680240977
   2   -3   -1       2    3    5       1    1     12.22826409821184   0.00004687181997
  -3    2   -1       3    2    5       1    1     12.22826409821184   0.00004687189530
  -3   -1    2       3    5    2       1    1     12.22826409931337   0.00004689278331
  -1   -3    2       5    3    2       1    1     12.22826409931337   0.00004689305529
   1    1    1       1    1    1       1    1     14.52934277352293  -0.00000321691002
  -1   -1   -1       5    5    5       1    1     14.52934277352293  -0.00000321691002
   0    1    2       0    1    2       1    1     14.82894836755578  -0.00000473161907
   0   -1   -2       0    5    4       1    1     14.82894836755578  -0.00000473161907
   1    0    2       1    0    2       1    1     14.82894836755578  -0.00000473162661
  -1    0   -2       5    0    4       1    1     14.82894836755578  -0.00000473162661
   0    2    1       0    2    1       1    1     14.82894837325012  -0.00000475767440
   0   -2   -1       0    4    5       1    1     14.82894837325012  -0.00000475767440
   2    0    1       2    0    1       1    1     14.82894837325012  -0.00000475760965
  -2    0   -1       4    0    5       1    1     14.82894837325012  -0.00000475760965
   1    2    0       1    2    0       1    1     14.82894837661549  -0.00000477785140
   2    1    0       2    1    0       1    1     14.82894837661549  -0.00000477791419
