              Im{iWn}     Re{Delta_1}[1,1]     Im{Delta_1}[1,1]     Re{Delta_1}[2,1]     Im{Delta_1}[2,1]     Re{Delta_1}[1,2]     Im{Delta_1}[1,2]     Re{Delta_1}[2,2]     Im{Delta_1}[2,2]
     0.10449850235777     0.15384095611233    -0.26083810973632     0.20177355690228    -0.18924348536396     0.84691630785534    -1.02604869194752     0.27033568699179    -0.66280791529279
     0.31349550707332     0.00918107151733    -0.52044207694549     0.09780834972015    -0.34842919269498     0.37461460433298    -1.10963869828225     0.16649483043297    -0.60354003751207
     0.52249251178887    -0.08781140995084    -0.65167531988532     0.04582463476905    -0.42162647241298     0.11915512934733    -1.07513068337841     0.09351280758070    -0.58407481821428
     0.73148951650442    -0.16041837413966    -0.71826197583267     0.00964258898807    -0.46008263513036    -0.03693972589827    -1.03986370574155     0.04016469449875    -0.57726601780023
     0.94048652121997    -0.21575299459103    -0.75062356950121    -0.01954944095715    -0.48113859773273    -0.13980069871669    -1.00629881590639    -0.00073762316182    -0.57356766425515
     1.14948352593552    -0.25802282247481    -0.76508260892884    -0.04476857621965    -0.49237906660911    -0.21106650826456    -0.97489633129487    -0.03380576376624    -0.56949006910943
     1.35848053065106    -0.29031878224028    -0.76979032302223    -0.06689000372662    -0.49786401472894    -0.26159507216294    -0.94602234190242    -0.06116253117065    -0.56440421379918
     1.56747753536661    -0.31493472337983    -0.76902230627243    -0.08641130784386    -0.49971573988296    -0.29803933816758    -0.91963742951429    -0.08427253675383    -0.55844353796818
     1.77647454008216    -0.33357154440642    -0.76510725258780    -0.10369228694244    -0.49912485967607    -0.32459377381008    -0.89551106106623    -0.10413406754155    -0.55180724792285
     1.98547154479771    -0.34750348648273    -0.75934711874794    -0.11900502191449    -0.49684326372801    -0.34396337044381    -0.87338287997412    -0.12139196489412    -0.54465852173121
     2.19446854951326    -0.35769675673734    -0.75249015853683    -0.13257089843191    -0.49339065918135    -0.35796162407330    -0.85301177003555    -0.13647027758237    -0.53714215128526
     2.40346555422881    -0.36489377813043    -0.74498073240117    -0.14458281436278    -0.48914090534089    -0.36785617172534    -0.83418270417295    -0.14967165957568    -0.52939481130837
     2.61246255894436    -0.36967300694607    -0.73709212432972    -0.15521371320063    -0.48436503606097    -0.37456499867178    -0.81670514326955    -0.16123398596203    -0.52154125297400
     2.82145956365990    -0.37249118403220    -0.72899781552194    -0.16461836594100    -0.47925875997760    -0.37877110060544    -0.80041123638432    -0.17135710033135    -0.51368769159239
     3.03045656837545    -0.37371320162393    -0.72081058204194    -0.17293350179041    -0.47396273388079    -0.38099309196192    -0.78515441033560    -0.18021383375769    -0.50591834227387
     3.23945357309100    -0.37363342675878    -0.71260475496869    -0.18027841490747    -0.46857789631885    -0.38163112058059    -0.77080786053821    -0.18795445373064    -0.49829579225799
     3.44845057780655    -0.37249119127921    -0.70442952544378    -0.18675640666346    -0.46317680694047    -0.38099808488953    -0.75726274934877    -0.19470909303798    -0.49086382716012
     3.65744758252210    -0.37048228672245    -0.69631731150777    -0.19245676370194    -0.45781177965857    -0.37934154725091    -0.74442618710164    -0.20058990073582    -0.48365118503477
     3.86644458723765    -0.36776768140957    -0.68828924808426    -0.19745688283536    -0.45252057610487    -0.37685945654210    -0.73221915476382    -0.20569331703813    -0.47667522244977
     4.07544159195319    -0.36448025901482    -0.68035889031976    -0.20182426451709    -0.44733033832012    -0.37371160594835    -0.72057450774973    -0.21010238736662    -0.46994500805336
     4.28443859666874    -0.36073010720038    -0.67253474146218    -0.20561823291870    -0.44226030376135    -0.37002808657212    -0.70943515059049    -0.21388894085979    -0.46346371750189
     4.49343560138429    -0.35660871393477    -0.66482197623486    -0.20889134283300    -0.43732370390354    -0.36591559443893    -0.69875242570870    -0.21711550896210    -0.45723038966088
     4.70243260609984    -0.35219232222213    -0.65722360333916    -0.21169049351241    -0.43252912535593    -0.36146218834017    -0.68848472626214    -0.21983693339299    -0.45124117315903
     4.91142961081539    -0.34754462616833    -0.64974123654426    -0.21405779636590    -0.42788151828786    -0.35674092044524    -0.67859632270672    -0.22210166866864    -0.44549019812481
     5.12042661553094    -0.34271894664673    -0.64237559560080    -0.21603124945595    -0.42338297009749    -0.35181264004105    -0.66905638216687    -0.22395281556637    -0.43997018652077
     5.32942362024649    -0.33775999373442    -0.63512682405855    -0.21764526692708    -0.41903331760131    -0.34672818534152    -0.65983815555938    -0.22542893371752    -0.43467288615277
     5.53842062496203    -0.33270530015387    -0.62799468584794    -0.21893110242446    -0.41483064272207    -0.34153011787047    -0.65091830714387    -0.22656468128000    -0.42958938758161
     5.74741762967758    -0.32758639229884    -0.62097868372111    -0.21991719596995    -0.41077167951002    -0.33625411103748    -0.64227636298028    -0.22739132342341    -0.42471036299480
     5.95641463439313    -0.32242975150029    -0.61407812886571    -0.22062946540970    -0.40685215034652    -0.33093007405077    -0.63389425752755    -0.22793714311775    -0.42002625178201
     6.16541163910868    -0.31725760711154    -0.60729218111511    -0.22109155699739    -0.40306704354394    -0.32558307063070    -0.62575596064329    -0.22822777965277    -0.41552740808066
     6.37440864382423    -0.31208859420532    -0.60061987225032    -0.22132506490670    -0.39941084140876    -0.32023407653240    -0.61784717015625    -0.22828651344224    -0.41120421962897
     6.58340564853978    -0.30693830173137    -0.59406012017836    -0.22134972616122    -0.39587770605062    -0.31490060882431    -0.61015505780805    -0.22813451026502    -0.40704720374699
     6.79240265325532    -0.30181973154599    -0.58761173863942    -0.22118359529447    -0.39246162911780    -0.30959725191415    -0.60266805861594    -0.22779103409881    -0.40304708427515
     7.00139965797087    -0.29674368447720    -0.58127344508517    -0.22084320166455    -0.38915655087496    -0.30433609954140    -0.59537569560393    -0.22727363486555    -0.39919485222619
     7.21039666268642    -0.29171908629096    -0.57504386811044    -0.22034369149952    -0.38595645341407    -0.29912712772758    -0.58826843340141    -0.22659831547340    -0.39548181234021
     7.41939366740197    -0.28675326385625    -0.56892155506603    -0.21969895624422    -0.38285543223554    -0.29397851053977    -0.58133755547187    -0.22577968125695    -0.39189961743274
     7.62839067211752    -0.28185217981087    -0.56290498004733    -0.21892174848488    -0.37984774991498    -0.28889688816524    -0.57457506074777    -0.22483107408956    -0.38844029224407
     7.83738767683307    -0.27702063246735    -0.55699255222496    -0.21802378655710    -0.37692787508082    -0.28388759499503    -0.56797357625889    -0.22376469291615    -0.38509624836138
     8.04638468154861    -0.27226242646892    -0.55118262437891    -0.21701584883629    -0.37409050947238    -0.27895485401923    -0.56152628299188    -0.22259170212273    -0.38186029166063
     8.25538168626416    -0.26758051873273    -0.54547350146218    -0.21590785863929    -0.37133060542841    -0.27410194273981    -0.55522685273434    -0.22132232894776    -0.37872562358236
     8.46437869097971    -0.26297714344150    -0.53986344902502    -0.21470896060896    -0.36864337578104    -0.26933133493199    -0.54906939407156    -0.21996595099903    -0.37568583741951
     8.67337569569526    -0.25845391921710    -0.53435070135549    -0.21342758939825    -0.36602429779807    -0.26464482187754    -0.54304840603603    -0.21853117483747    -0.37273491065693
     8.88237270041081    -0.25401194110396    -0.52893346922176    -0.21207153141934    -0.36346911252815    -0.26004361611730    -0.53715873817636    -0.21702590650928    -0.36986719426350
     9.09136970512636    -0.24965185957402    -0.52360994713356    -0.21064798036707    -0.36097382065487    -0.25552844029417    -0.53139555602764    -0.21545741483695    -0.36707739970705
     9.30036670984191    -0.24537394842223    -0.51837832006851    -0.20916358717012    -0.35853467575709    -0.25109960326307    -0.52575431114089    -0.21383238821516    -0.36436058434066
     9.50936371455745    -0.24117816313892    -0.51323676963428    -0.20762450496749    -0.35614817569620    -0.24675706531486    -0.52023071497108    -0.21215698559466    -0.36171213569791
     9.71836071927300    -0.23706419110746    -0.50818347965585    -0.20603642965171    -0.35381105270460    -0.24250049408436    -0.51482071604061    -0.21043688227751    -0.35912775513674
     9.92735772398855    -0.23303149477717    -0.50321664119370    -0.20440463646708    -0.35152026262986    -0.23832931247918    -0.50952047988994    -0.20867731108822    -0.35660344118654
    10.13635472870410    -0.22907934879455    -0.49833445700923    -0.20273401310007    -0.34927297368908    -0.23424273976941    -0.50432637140729    -0.20688309943035    -0.35413547287901
    10.34535173341965    -0.22520687193364    -0.49353514550258    -0.20102908965177    -0.34706655500939    -0.23023982681088    -0.49923493919404    -0.20505870268511    -0.35172039328195
    10.55434873813520    -0.22141305454642    -0.48881694415261    -0.19929406583832    -0.34489856516451    -0.22631948623325    -0.49424290167703    -0.20320823435982    -0.34935499340282
    10.76334574285074    -0.21769678215215    -0.48417811249283    -0.19753283572513    -0.34276674086613    -0.22248051830369    -0.48934713472415    -0.20133549334883    -0.34703629658624
    10.97234274756629    -0.21405685569716    -0.47961693465829    -0.19574901026508    -0.34066898592734    -0.21872163307455    -0.48454466055786    -0.19944398862813    -0.34476154349442
    11.18133975228184    -0.21049200894212    -0.47513172153879    -0.19394593787827    -0.33860336058210    -0.21504146933593    -0.47983263779162    -0.19753696166760    -0.34252817773084
    11.39033675699739    -0.20700092337043    -0.47072081257353    -0.19212672328240    -0.33656807121986    -0.21143861081986    -0.47520835244242    -0.19561740681159    -0.34033383214577
    11.59933376171294    -0.20358224095639    -0.46638257722112    -0.19029424475705    -0.33456146057265    -0.20791160003916    -0.47066920979336    -0.19368808984800    -0.33817631584309
    11.80833076642849    -0.20023457508520    -0.46211541613712    -0.18845117000374    -0.33258199837869    -0.20445895008978    -0.46621272699918    -0.19175156496011    -0.33605360189410
    12.01732777114404    -0.19695651987676    -0.45791776208951    -0.18659997074279    -0.33062827253128    -0.20107915469928    -0.46183652634453    -0.18981019023186    -0.33396381575433
    12.22632477585958    -0.19374665813033    -0.45378808064054    -0.18474293617211    -0.32869898071604    -0.19777069676421    -0.45753832907575    -0.18786614185637    -0.33190522436933
    12.43532178057513    -0.19060356807777    -0.44972487062140    -0.18288218539735    -0.32679292252968    -0.19453205558529    -0.45331594974073    -0.18592142717993    -0.32987622595087
    12.64431878529068    -0.18752582910750    -0.44572666442370    -0.18101967893038    -0.32490899207032    -0.19136171298045    -0.44916729097836    -0.18397789669757    -0.32787534039995
    12.85331579000623    -0.18451202659887    -0.44179202813034    -0.17915722934138    -0.32304617098517    -0.18825815843046    -0.44509033870928    -0.18203725510275    -0.32590120035012
    13.06231279472178    -0.18156075598836    -0.43791956150543    -0.17729651114027    -0.32120352195776    -0.18521989339088    -0.44108315768423    -0.18010107148147    -0.32395254280276
    13.27130979943733    -0.17867062617200    -0.43410789786218    -0.17543906995495    -0.31938018261761    -0.18224543488547    -0.43714388735407    -0.17817078873111    -0.32202820132508
    13.48030680415287    -0.17584026233490    -0.43035570382524    -0.17358633106586    -0.31757535985148    -0.17933331848064    -0.43327073802910    -0.17624773227454    -0.32012709878071
    13.68930380886842    -0.17306830828625    -0.42666167900204    -0.17173960735024    -0.31578832449641    -0.17648210072662    -0.42946198729931    -0.17433311813271    -0.31824824056314
    13.89830081358397    -0.17035342836721    -0.42302455557769    -0.16990010668400    -0.31401840639506    -0.17369036114004    -0.42571597669269    -0.17242806041167    -0.31639070830371
    14.10729781829952    -0.16769430899250    -0.41944309784208    -0.16806893884524    -0.31226498979180    -0.17095670379079    -0.42203110854616    -0.17053357825396    -0.31455365402189
    14.31629482301507    -0.16508965987074    -0.41591610167091    -0.16624712195222    -0.31052750905206    -0.16827975855233    -0.41840584308198    -0.16865060229943    -0.31273629470170
    14.52529182773062    -0.16253821496554    -0.41244239393746    -0.16443558849000    -0.30880544468106    -0.16565818205413    -0.41483869564107    -0.16677998069533    -0.31093790723558
    14.73428883244616    -0.16003873318554    -0.40902083195094    -0.16263519090244    -0.30709831963559    -0.16309065839942    -0.41132823414025    -0.16492248468988    -0.30915782379207
    14.94328583716171    -0.15758999896664    -0.40565030272061    -0.16084670691994    -0.30540569588260    -0.16057589963995    -0.40787307654741    -0.16307881385353    -0.30739542739639
    15.15228284187726    -0.15519082246822    -0.40232972249511    -0.15907084431667    -0.30372717124451    -0.15811264611703    -0.40447188877538    -0.16124960091489    -0.30565014808128
    15.36127984659281    -0.15284004006755    -0.39905803575112    -0.15730824582777    -0.30206237642176    -0.15569966658427    -0.40112338220011    -0.15943541635846    -0.30392145890867
    15.57027685130836    -0.15053651389229    -0.39583421499214    -0.15555949289356    -0.30041097228627    -0.15333575824492    -0.39782631209145    -0.15763677252198    -0.30220887287039
    15.77927385602391    -0.14827913265603    -0.39265725950876    -0.15382511058012    -0.29877264740960    -0.15101974671636    -0.39457947512966    -0.15585412779740    -0.30051193939379
    15.98827086073946    -0.14606681029634    -0.38952619506436    -0.15210557013874    -0.29714711548270    -0.14875048567454    -0.39138170803608    -0.15408788994340    -0.29883024147221
