              Im{iWn}     Re{Delta_1}[1,1]     Im{Delta_1}[1,1]     Re{Delta_1}[2,1]     Im{Delta_1}[2,1]     Re{Delta_1}[1,2]     Im{Delta_1}[1,2]     Re{Delta_1}[2,2]     Im{Delta_1}[2,2]
     0.10449850235777     0.14701680444715    -0.25921532223092     0.19784639648302    -0.18770533948601     0.84567088049067    -1.02699946736131     0.27059086907985    -0.66245041558303
     0.31349550707332     0.00396060596152    -0.51779756026764     0.09537238505244    -0.34733663140474     0.37364712208644    -1.10923728593024     0.16630848563161    -0.60348064893977
     0.52249251178887    -0.09120450918611    -0.64849131870244     0.04403686702721    -0.42051211175183     0.11839250425428    -1.07469095825661     0.09339459107774    -0.58374740697385
     0.73148951650442    -0.16246853588046    -0.71519820396607     0.00846856842790    -0.45913352619851    -0.03733083056894    -1.03890568468147     0.04019577540735    -0.57715025890988
     0.94048652121997    -0.21688180038252    -0.74802171009908    -0.02058934164429    -0.48021371367863    -0.14036672730370    -1.00540303958992    -0.00075402989221    -0.57345215387913
     1.14948352593552    -0.25894218036663    -0.76300990565747    -0.04561673432183    -0.49149825891247    -0.21168126485301    -0.97396524031104    -0.03384077207348    -0.56949401767230
     1.35848053065106    -0.29119851837529    -0.76794653515982    -0.06753908225062    -0.49701064274080    -0.26217959382331    -0.94502158515408    -0.06127391891585    -0.56446970791910
     1.56747753536661    -0.31574141488306    -0.76723988769885    -0.08689971701615    -0.49889159259055    -0.29858388100618    -0.91860559947640    -0.08445640059179    -0.55847284247429
     1.77647454008216    -0.33427204088885    -0.76335644536864    -0.10405899859999    -0.49835156247221    -0.32510795193586    -0.89449629889225    -0.10434730822177    -0.55176297065152
     1.98547154479771    -0.34809440872437    -0.75764764171217    -0.11928164074130    -0.49614612665442    -0.34445368382105    -0.87241780508555    -0.12160086354968    -0.54455772424153
     2.19446854951326    -0.35818885220307    -0.75086396604014    -0.13278535876962    -0.49278508503425    -0.35842820735338    -0.85211108461805    -0.13666608291344    -0.53702033966478
     2.40346555422881    -0.36530007570882    -0.74344017073154    -0.14476058070254    -0.48862730179620    -0.36829582049731    -0.83334794979780    -0.14986330312868    -0.52928049728187
     2.61246255894436    -0.37000539243277    -0.73564155295464    -0.15537600917913    -0.48393088472212    -0.37497441582161    -0.81593020529566    -0.16143564463998    -0.52144724935558
     2.82145956365990    -0.37276068995208    -0.72763726674870    -0.16478018020604    -0.47888406551841    -0.37914869880944    -0.79968665972985    -0.17157944703027    -0.51361298990054
     3.03045656837545    -0.37393076199520    -0.71953811585274    -0.17310292698943    -0.47362566661293    -0.38133946676952    -0.78447024332276    -0.18046056147617    -0.50585384406397
     3.23945357309100    -0.37381006436922    -0.71141742322553    -0.18045741935496    -0.46825896106931    -0.38194874014795    -0.77015526090240    -0.18822257990635    -0.49822986687655
     3.44845057780655    -0.37263768304620    -0.70332359428110    -0.18694247107462    -0.46286112697882    -0.38129066837127    -0.75663469592204    -0.19499107579194    -0.49078612444604
