  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
   1   -1   -2       1    9    8       1    1      6.41750762695735   0.07084967988832
   2    1    3       2    1    3       1    1      6.41750762695735   0.07091062755966
   2    1   -1       2    1    9       1    1      6.41750762695735   0.07063824513231
   2    3    1       2    3    1       1    1      6.41750762695735   0.07063824513231
   2   -1    1       2    9    1       1    1      6.41750762695735   0.07068461928650
   3    1    2       3    1    2       1    1      6.41750762695735   0.07084967988832
   3    2    1       3    2    1       1    1      6.41750762695735   0.07063824513231
  -3   -2   -1       7    8    9       1    1      6.41750762695735   0.07063824513231
  -3   -1   -2       7    9    8       1    1      6.41750762695735   0.07084967988832
  -2    1   -1       8    1    9       1    1      6.41750762695735   0.07068461928650
  -2   -3   -1       8    7    9       1    1      6.41750762695735   0.07063824513231
  -2   -1    1       8    9    1       1    1      6.41750762695735   0.07063824513231
  -2   -1   -3       8    9    7       1    1      6.41750762695735   0.07091062755966
  -1    1    2       9    1    2       1    1      6.41750762695735   0.07084967988832
  -1    1   -2       9    1    8       1    1      6.41750762695735   0.07084967988832
  -1    2    1       9    2    1       1    1      6.41750762695735   0.07091062755966
  -1   -3   -2       9    7    8       1    1      6.41750762695735   0.07084967988832
  -1   -2    1       9    8    1       1    1      6.41750762695735   0.07063824513231
  -1   -2   -3       9    8    7       1    1      6.41750762695735   0.07068461928650
   0    1    3       0    1    3       1    1      7.03002738049198   0.45076321147649
   0    3    1       0    3    1       1    1      7.03002738049198   0.45085817736868
   0   -3   -1       0    7    9       1    1      7.03002738049198   0.45085817736868
   0   -1   -3       0    9    7       1    1      7.03002738049198   0.45076321147649
   1    0    3       1    0    3       1    1      7.03002738049198   0.45085817736868
   1    1   -2       1    1    8       1    1      7.03002738049198   0.45091884239151
   1    3    0       1    3    0       1    1      7.03002738049198   0.45091884239151
   1   -2    1       1    8    1       1    1      7.03002738049198   0.45076321147649
   2    3    3       2    3    3       1    1      7.03002738049198   0.45076321147649
   2   -1   -1       2    9    9       1    1      7.03002738049198   0.45085817736868
   3    0    1       3    0    1       1    1      7.03002738049198   0.45076321147649
   3    1    0       3    1    0       1    1      7.03002738049198   0.45091884239152
   3    2    3       3    2    3       1    1      7.03002738049198   0.45085817736869
   3    3    2       3    3    2       1    1      7.03002738049198   0.45091884239151
  -3    0   -1       7    0    9       1    1      7.03002738049198   0.45076321147649
  -3   -3   -2       7    7    8       1    1      7.03002738049198   0.45091884239151
  -3   -2   -3       7    8    7       1    1      7.03002738049198   0.45085817736869
  -3   -1    0       7    9    0       1    1      7.03002738049198   0.45091884239152
  -2    1    1       8    1    1       1    1      7.03002738049198   0.45085817736868
  -2   -3   -3       8    7    7       1    1      7.03002738049198   0.45076321147649
  -1    0   -3       9    0    7       1    1      7.03002738049198   0.45085817736868
  -1    2   -1       9    2    9       1    1      7.03002738049198   0.45076321147649
  -1   -3    0       9    7    0       1    1      7.03002738049198   0.45091884239151
  -1   -1    2       9    9    2       1    1      7.03002738049198   0.45091884239151
   0    0    3       0    0    3       1    1      7.45647004900947   1.28121625058184
   0    0   -3       0    0    7       1    1      7.45647004900947   1.28121625058184
   0    3    0       0    3    0       1    1      7.45647004900947   1.28121625058184
   0   -3    0       0    7    0       1    1      7.45647004900947   1.28121625058184
   3    0    0       3    0    0       1    1      7.45647004900947   1.28121625058184
   3    3    3       3    3    3       1    1      7.45647004900947   1.28121625058184
  -3    0    0       7    0    0       1    1      7.45647004900947   1.28121625058184
  -3   -3   -3       7    7    7       1    1      7.45647004900947   1.28121625058184
   0    2    3       0    2    3       1    1      7.45647004900947   0.37536732196770
   0    3    2       0    3    2       1    1      7.45647004900947   0.37529272726766
   0   -3   -2       0    7    8       1    1      7.45647004900947   0.37529272726766
   0   -2   -3       0    8    7       1    1      7.45647004900947   0.37536732196770
   1    3    3       1    3    3       1    1      7.45647004900947   0.37536732196771
   1   -2   -2       1    8    8       1    1      7.45647004900947   0.37529272726765
   2    0    3       2    0    3       1    1      7.45647004900947   0.37529272726766
   2    2   -1       2    2    9       1    1      7.45647004900947   0.37540624009167
   2    3    0       2    3    0       1    1      7.45647004900947   0.37540624009168
   2   -1    2       2    9    2       1    1      7.45647004900947   0.37536732196771
   3    0    2       3    0    2       1    1      7.45647004900947   0.37536732196771
   3    1    3       3    1    3       1    1      7.45647004900947   0.37529272726766
   3    2    0       3    2    0       1    1      7.45647004900947   0.37540624009168
   3    3    1       3    3    1       1    1      7.45647004900947   0.37540624009167
  -3    0   -2       7    0    8       1    1      7.45647004900947   0.37536732196771
  -3   -3   -1       7    7    9       1    1      7.45647004900947   0.37540624009167
  -3   -2    0       7    8    0       1    1      7.45647004900947   0.37540624009168
  -3   -1   -3       7    9    7       1    1      7.45647004900947   0.37529272726766
  -2    0   -3       8    0    7       1    1      7.45647004900947   0.37529272726766
  -2    1   -2       8    1    8       1    1      7.45647004900947   0.37536732196771
  -2   -3    0       8    7    0       1    1      7.45647004900947   0.37540624009168
  -2   -2    1       8    8    1       1    1      7.45647004900947   0.37540624009167
  -1    2    2       9    2    2       1    1      7.45647004900947   0.37529272726765
  -1   -3   -3       9    7    7       1    1      7.45647004900947   0.37536732196771
   0    2   -2       0    2    8       1    1      8.11757640107497  -0.01135944477422
   0   -2    2       0    8    2       1    1      8.11757640107497  -0.01135944477422
   2    0   -2       2    0    8       1    1      8.11757640107497  -0.01135944477422
   2    2    4       2    2    4       1    1      8.11757640107497  -0.01118729983661
   2    4    2       2    4    2       1    1      8.11757640107497  -0.01135944477422
   2   -2    0       2    8    0       1    1      8.11757640107497  -0.01118729983661
   4    2    2       4    2    2       1    1      8.11757640107497  -0.01135944477422
  -4   -2   -2       6    8    8       1    1      8.11757640107497  -0.01135944477422
  -2    0    2       8    0    2       1    1      8.11757640107497  -0.01135944477422
  -2    2    0       8    2    0       1    1      8.11757640107497  -0.01118729983661
  -2   -4   -2       8    6    8       1    1      8.11757640107497  -0.01135944477422
  -2   -2   -4       8    8    6       1    1      8.11757640107497  -0.01118729983661
   1    2    4       1    2    4       1    1      8.48956460889471  -0.02815080683576
   1    2   -2       1    2    8       1    1      8.48956460889471  -0.02810717630213
   1    3   -1       1    3    9       1    1      8.48956460889471  -0.02805697599706
   1    4    2       1    4    2       1    1      8.48956460889471  -0.02822126454873
   1   -3   -1       1    7    9       1    1      8.48956460889471  -0.02815330033036
   1   -2    2       1    8    2       1    1      8.48956460889471  -0.02816288737815
   1   -1    3       1    9    3       1    1      8.48956460889471  -0.02822126454873
   1   -1   -3       1    9    7       1    1      8.48956460889471  -0.02816288737815
   2    1    4       2    1    4       1    1      8.48956460889471  -0.02815330033036
   2    1   -2       2    1    8       1    1      8.48956460889471  -0.02805697599705
   2    3    4       2    3    4       1    1      8.48956460889471  -0.02815080683576
   2    4    1       2    4    1       1    1      8.48956460889471  -0.02810717630213
   2    4    3       2    4    3       1    1      8.48956460889471  -0.02816288737815
   2   -2    1       2    8    1       1    1      8.48956460889471  -0.02815080683576
   2   -2   -1       2    8    9       1    1      8.48956460889471  -0.02815330033036
   2   -1   -2       2    9    8       1    1      8.48956460889471  -0.02822126454873
   3    1   -1       3    1    9       1    1      8.48956460889471  -0.02810717630213
   3    2    4       3    2    4       1    1      8.48956460889471  -0.02815330033036
   3   -1    1       3    9    1       1    1      8.48956460889471  -0.02815080683576
   4    1    2       4    1    2       1    1      8.48956460889471  -0.02816288737815
   4    2    1       4    2    1       1    1      8.48956460889471  -0.02805697599706
   4    2    3       4    2    3       1    1      8.48956460889471  -0.02822126454873
  -4   -2   -3       6    8    7       1    1      8.48956460889471  -0.02822126454873
  -4   -2   -1       6    8    9       1    1      8.48956460889471  -0.02805697599706
  -4   -1   -2       6    9    8       1    1      8.48956460889471  -0.02816288737815
  -3    1   -1       7    1    9       1    1      8.48956460889471  -0.02815080683576
  -3   -2   -4       7    8    6       1    1      8.48956460889471  -0.02815330033036
  -3   -1    1       7    9    1       1    1      8.48956460889471  -0.02810717630213
  -2    1    2       8    1    2       1    1      8.48956460889471  -0.02822126454873
  -2    2    1       8    2    1       1    1      8.48956460889471  -0.02815330033036
  -2    2   -1       8    2    9       1    1      8.48956460889471  -0.02815080683576
  -2   -4   -3       8    6    7       1    1      8.48956460889471  -0.02816288737815
  -2   -4   -1       8    6    9       1    1      8.48956460889471  -0.02810717630213
  -2   -3   -4       8    7    6       1    1      8.48956460889471  -0.02815080683576
  -2   -1    2       8    9    2       1    1      8.48956460889471  -0.02805697599705
  -2   -1   -4       8    9    6       1    1      8.48956460889471  -0.02815330033036
  -1    1    3       9    1    3       1    1      8.48956460889471  -0.02816288737815
  -1    1   -3       9    1    7       1    1      8.48956460889471  -0.02822126454873
  -1    2   -2       9    2    8       1    1      8.48956460889471  -0.02816288737815
  -1    3    1       9    3    1       1    1      8.48956460889471  -0.02815330033036
  -1   -4   -2       9    6    8       1    1      8.48956460889471  -0.02822126454873
  -1   -3    1       9    7    1       1    1      8.48956460889471  -0.02805697599706
  -1   -2    2       9    8    2       1    1      8.48956460889471  -0.02810717630213
  -1   -2   -4       9    8    6       1    1      8.48956460889471  -0.02815080683576
   3    4    2       3    4    2       1    1      8.48956460889471  -0.02805697599706
   4    3    2       4    3    2       1    1      8.48956460889471  -0.02810717630213
  -4   -3   -2       6    7    8       1    1      8.48956460889471  -0.02810717630213
  -3   -4   -2       7    6    8       1    1      8.48956460889471  -0.02805697599706
   0    1   -3       0    1    7       1    1      8.60998998000000   0.06729145790153
   0    3    3       0    3    3       1    1      8.60998998000000   0.19392377492121
   0    3   -1       0    3    9       1    1      8.60998998000000   0.06730624840655
   0   -3    1       0    7    1       1    1      8.60998998000000   0.06730624840655
   0   -3   -3       0    7    7       1    1      8.60998998000000   0.19392377492121
   0   -1    3       0    9    3       1    1      8.60998998000000   0.06729145790153
   1    0   -3       1    0    7       1    1      8.60998998000000   0.06730624840655
   1    1    4       1    1    4       1    1      8.60998998000000   0.06744931968567
   1    4    1       1    4    1       1    1      8.60998998000000   0.06729145790153
   1   -3    0       1    7    0       1    1      8.60998998000000   0.06744931968567
   3    0    3       3    0    3       1    1      8.60998998000000   0.19392377492121
   3    0   -1       3    0    9       1    1      8.60998998000000   0.06729145790153
   3    3    0       3    3    0       1    1      8.60998998000000   0.19387588947697
   3    3    4       3    3    4       1    1      8.60998998000000   0.06744931968567
   3    4    3       3    4    3       1    1      8.60998998000000   0.06730624840655
   3   -1    0       3    9    0       1    1      8.60998998000000   0.06744931968566
   4    1    1       4    1    1       1    1      8.60998998000000   0.06730624840655
   4    3    3       4    3    3       1    1      8.60998998000000   0.06729145790153
  -4   -3   -3       6    7    7       1    1      8.60998998000000   0.06729145790153
  -4   -1   -1       6    9    9       1    1      8.60998998000000   0.06730624840655
  -3    0    1       7    0    1       1    1      8.60998998000000   0.06729145790153
  -3    0   -3       7    0    7       1    1      8.60998998000000   0.19392377492121
  -3    1    0       7    1    0       1    1      8.60998998000000   0.06744931968566
  -3   -4   -3       7    6    7       1    1      8.60998998000000   0.06730624840655
  -3   -3    0       7    7    0       1    1      8.60998998000000   0.19387588947697
  -3   -3   -4       7    7    6       1    1      8.60998998000000   0.06744931968567
